date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,totalTestResultsIncrease,deathIncrease,hospitalizedIncrease
20210204,RI,117291,,632950.0,,totalTestEncountersViral,2589083,290.0,8412.0,43.0,,23.0,,7182.0,A+,2/4/2021 13:00,2209,,139763.0,2449320.0,,,,2589083.0,750241.0,,,,,,,,,,,44,587,20760,11,43
20210204,SC,453878,49950.0,3872020.0,,posNeg,4325898,1677.0,18462.0,382.0,,239.0,,202372.0,A+,2/2/2021 23:59,7487,4275948.0,517290.0,3758658.0,403928.0,6730.0,757.0,,,122593.0,22744.0,99849.0,,,,,,686188.0,91109.0,45,3084,25212,93,138
20210204,SD,108813,11698.0,296591.0,,totalTestsPeopleViral,405404,126.0,6334.0,23.0,,17.0,,104508.0,A+,2/3/2021 14:00,1788,886079.0,,,97115.0,,,,405404.0,,,,,,,,,,,46,174,1037,6,13
20210204,TN,736370,113419.0,5766795.0,,posNeg,6503165,1562.0,17469.0,433.0,,236.0,,697110.0,A+,2/4/2021 15:00,10202,6389746.0,717799.0,5671947.0,622951.0,8279.0,1923.0,,,,,,,,,,,933177.0,123907.0,47,3154,30835,169,107
20210204,TX,2448391,315798.0,,,totalTestsViral,17846886,10523.0,,3014.0,,,,2037888.0,A+,2/4/2021 16:50,37727,17846886.0,2409593.0,,2132593.0,,,,,937452.0,128401.0,,,,,,,1880415.0,172200.0,48,15281,152012,439,0
20210204,UT,351273,,1450594.0,,totalTestsViral,2646744,449.0,13697.0,125.0,2158.0,,742.0,315614.0,A+,2/4/2021 11:02,1711,2646744.0,327393.0,2319351.0,300506.0,,,,1751100.0,,,,,,,303130.0,50209.0,770263.0,52386.0,49,1273,10759,14,49
20210204,VA,516398,103850.0,,253.0,totalTestEncountersViral,5316450,2444.0,21749.0,486.0,,294.0,,41067.0,A+,2/3/2021 17:00,6650,,506613.0,,412548.0,5755.0,895.0,5316450.0,,209499.0,23295.0,,,,,,,1102576.0,105474.0,51,3059,15624,75,111
20210204,VI,2430,,39818.0,101.0,posNeg,42248,,,,,,,2336.0,D,2/3/2021 07:13,24,,,,,24.0,,,42349.0,,,,,,,,,,,78,0,0,0,0
20210204,VT,12503,314.0,295866.0,,totalTestsViral,903253,69.0,,12.0,,,,8953.0,B,2/3/2021 23:59,181,903253.0,,,12189.0,,,,308055.0,,,,,,,,,,,50,174,8696,2,0
20210204,WA,316294,14922.0,,,totalTestEncountersViral,4645828,789.0,17987.0,183.0,,83.0,,,A+,2/3/2021 02:59,4388,,,,301372.0,,,4645828.0,,,,,,,,,,,,53,1602,31042,72,95
20210204,WI,597475,50520.0,2523102.0,44.0,totalTestEncountersViral,6278671,639.0,24634.0,173.0,2186.0,,,524120.0,A+,2/4/2021 00:00,6545,,,,546955.0,5992.0,553.0,6278671.0,3070057.0,,,,,,,,,,,55,1719,41946,49,80
20210204,WV,123044,24413.0,1857164.0,,posNeg,1980208,396.0,,109.0,,52.0,,102495.0,B,2/3/2021 23:59,2080,1955795.0,,,98631.0,1783.0,297.0,,,30826.0,,,,,,,,,,54,574,12070,22,0
20210204,WY,52468,7620.0,172426.0,,totalTestsViral,670688,48.0,1300.0,,,,,50775.0,B,2/4/2021 00:00,624,670688.0,46545.0,624095.0,44848.0,,,,217274.0,,,,,,,,,,,56,180,14145,0,7
