Country/territory of asylum,Refugees,Of whom assisted by UNHCR,People in refugee-like situations,Of whom assisted by UNHCR,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,IDPs protected/ assisted by UNHCR excl IDP-like,Persons in IDP-like situations,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons excl stateless like,Persons in stateless-like situations,Stateless persons,Various,Total population of concern
Central Africa-Great Lakes,635084,561407,0,0,635084,561407,23322,43699,1893280,0,1893280,889233,1059,0,1059,171491,3657168
East and Horn of Africa,1606893,1535529,25976,4800,1632869,1540329,75164,51378,4500554,292748,4793302,382147,20000,0,20000,13,6954873
Southern Africa,144865,59214,0,0,144865,59214,245658,4032,54278,0,54278,0,0,0,0,41,448874
Western Africa,280532,270518,8,8,280540,270526,22471,137051,126668,0,126668,466808,0,0,0,2788,1036326
Asia and Pacific,3390889,2874686,216322,5369,3607211,2880055,47912,76983,1540945,160500,1701445,848492,2240108,0,2240108,1035458,9557609
Middle East and North Africa,1669384,526813,69930,8311,1739314,535124,50670,217414,1773242,0,1773242,657681,515269,0,515269,4840,4958430
Europe,1556622,110574,871,371,1557493,110945,328574,1321,1242854,0,1242854,1443,700645,0,700645,197217,4029547
Americas,516593,75975,290837,25397,807430,101372,103250,29,3888309,0,3888309,0,20,0,20,0,4799038
Various/unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
