Country/territory of asylum,Refugees,Of whom assisted by UNHCR,People in refugee-like situations,Of whom assisted by UNHCR,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,IDPs protected/ assisted by UNHCR excl IDP-like,Persons in IDP-like situations,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons excl stateless like,Persons in stateless-like situations,Stateless persons,Various,Total population of concern
Africa,2868468,2553681,55623,8447,2924091,2562128,390715,386483,6668345,292748,6961093,2196235,21119,0,21119,174333,13054069
Asia,4852069,3291475,252046,10041,5104115,3301516,83130,144074,4093811,160500,4254311,1048126,2759418,0,2759418,1132812,14525986
Europe,1533544,91019,871,371,1534415,91390,314438,1321,369665,0,369665,1443,696544,0,696544,104703,3022529
Latin America and the Caribbean,86947,75975,290837,25397,377784,101372,49677,29,3888309,0,3888309,0,20,0,20,0,4315819
Northern America,429646,0,0,0,429646,0,53573,0,0,0,0,0,0,0,0,0,483219
Oceania,30188,2566,4567,0,34755,2566,5488,0,0,0,0,0,0,0,0,0,40243
Various,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
