agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,rev_code,sub_type
ICC,ICC,2018,2326638.128,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ICC,ICC,2018,652817.3516,Revenue from other activities,Revenue from other activities,R04,R04
UNICEF,UNICEF,2018,0,Assessed contributions,Assessed contributions,R01,R01
UNICEF,UNICEF,2018,19541377,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02,R02B
UNICEF,UNICEF,2018,1608415802,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNICEF,UNICEF,2018,256277366,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
UNICEF,UNICEF,2018,52889949,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNICEF,UNICEF,2018,505193767,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UNICEF,UNICEF,2018,196376223,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
UNICEF,UNICEF,2018,298183083,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UNICEF,UNICEF,2018,3558372654,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNICEF,UNICEF,2018,180508385,Revenue from other activities,Revenue from other activities,R04,R04
WFP,WFP,2018,5529933706,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
WFP,WFP,2018,465407105.4,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
WFP,WFP,2018,74758841.61,Revenue from other activities,Revenue from other activities,R04,R04
WFP,WFP,2018,406124597.4,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
WFP,WFP,2018,5384642.05,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02,R02B
WFP,WFP,2018,721725366.5,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
WFP,WFP,2018,45236234.38,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
WFP,WFP,2018,119757882.1,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
