agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,rev_code,sub_type
UNCDF,UNCDF,2019,855866,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNCDF,UNCDF,2019,4031000,Revenue from other activities,Revenue from other activities,R04,R04
ITU,ITU,2019,129728202.5,Assessed contributions,Assessed contributions,R01,R01
ITU,ITU,2019,14396905.78,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ITU,ITU,2019,3117866.667,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
ITU,ITU,2019,44733577.85,Revenue from other activities,Revenue from other activities,R04,R04
ILO,ILO,2019,385772209.1,Assessed contributions,Assessed contributions,R01,R01
ILO,ILO,2019,9347346.34,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
ILO,ILO,2019,14520230.49,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
ILO,ILO,2019,14408941.18,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
ILO,ILO,2019,17851261.74,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
ILO,ILO,2019,232184846.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ILO,ILO,2019,5929776.22,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
ILO,ILO,2019,47019587.47,Revenue from other activities,Revenue from other activities,R04,R04
UPU,UPU,2019,37052902.56,Assessed contributions,Assessed contributions,R01,R01
UPU,UPU,2019,18684052.31,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UPU,UPU,2019,20761661.54,Revenue from other activities,Revenue from other activities,R04,R04
WHO,WHO,2019,490294103,Assessed contributions,Assessed contributions,R01,R01
WHO,WHO,2019,92333485,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
WHO,WHO,2019,226387296,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
WHO,WHO,2019,794354397,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
WHO,WHO,2019,246284179,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
WHO,WHO,2019,30680580,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
WHO,WHO,2019,1105766809,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
CTBTO,CTBTO,2019,127055587,Assessed contributions,Assessed contributions,R01,R01
CTBTO,CTBTO,2019,5324221,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
CTBTO,CTBTO,2019,1428532,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
CTBTO,CTBTO,2019,3913076,Revenue from other activities,Revenue from other activities,R04,R04
ITC,ITC,2019,7661000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
ITC,ITC,2019,35887000,Assessed contributions,Assessed contributions,R01,R01
ITC,ITC,2019,2884000,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
ITC,ITC,2019,72537000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ITC,ITC,2019,2817000,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
ITC,ITC,2019,3467000,Revenue from other activities,Revenue from other activities,R04,R04
UN,UN-UNISDR,2019,595296.02,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,1694664.66,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,9555797.67,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,203232.77,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN,2019,732562886.4,Revenue from other activities,Revenue from other activities,R04,R04
UN,UN,2019,22919339.84,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,17641615.6,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,79600582.17,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,4060217.4,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN-DGACM,2019,565413.87,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGACM,2019,2414638,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGACM,2019,2535000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGACM,2019,3070000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,3783874.87,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,6544826.15,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,4112893.33,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,1837593.4,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,883920.42,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,3534556.03,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,111275.2,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-DGACM,2019,28538.82,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGACM,2019,105261.76,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGACM,2019,34974.82,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DMSPC,2019,1000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DMSPC,2019,120000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DMSPC,2019,300750,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,38549.25,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,65928.41,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,66834.96,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,533404.61,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,3826.38,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,2163646.89,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,205663.15,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,321266.61,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,194004.73,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,-9389.93,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,594332.01,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,4305,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,142457.01,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,6241426.69,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,321130.69,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,-20331.05,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,497500,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,1365663.32,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,99891.78,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,855454.26,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,980292.59,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,-522799.18,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,877796.96,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,8581237.12,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,4596417.09,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,2880334.99,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,757735.86,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,-15907.07,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,260395.2,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,840777.41,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,1940952.25,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,419123,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,-49493.62,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,1414986.17,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,7466602.41,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,750185.55,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,697392.21,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,1850168.56,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,2399307.13,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,42887,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,73734098.68,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,16230333.63,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,6189390.37,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,17911715.94,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,6954761.42,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,8040729.66,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,9529344.27,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,7507117.52,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,77635086.47,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,648988.21,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-PBSO,2019,7561.99,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-PBSO,2019,2168348.43,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,963008.26,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,1443896.14,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,12500,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,4770753.64,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,187510000,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,39179043.47,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,3444283.82,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,333845467.8,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,13769419.74,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN-UNISDR,2019,3420384.08,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,2007728.43,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,3064701370,Assessed contributions,Assessed contributions,R01,R01
UN,UN,2019,-141409800,Assessed contributions,Assessed contributions,R01,R01
UN,UN,2019,86960500,Assessed contributions,Assessed contributions,R01,R01
UN,UN,2019,17902928.13,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,34680365.29,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,1928783.65,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,3715637.27,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,27550354.77,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,8708187.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,14580803.44,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,27590043.06,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,15929137.48,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,2383943.32,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,16942.95,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,2967394.62,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,14131990.7,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,34667965.49,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGACM,2019,-54222.01,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,125495,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-DMSPC,2019,60000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,40411708.61,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
UN,UN,2019,1370485,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,568181.82,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,8668917.02,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
UN,UN,2019,90792065.33,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,16670306.41,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,799753.63,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,110744.65,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,1775744.74,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,11855317.99,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,386323.95,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,433726.99,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,272202.09,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,23618917.4,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,2519403.87,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,24253677.73,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,67481758.39,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,11871223.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,25620566.48,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,14285676.48,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN,2019,90817928.08,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-DESA,2019,3235480.01,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,2938017.43,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,16158568.74,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,20773260.21,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DESA,2019,13522841.92,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,626521.19,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,143106.95,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,244043.32,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,118992.94,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DGC,2019,11123.47,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,3230733.11,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,5724358.73,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,5283179.73,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DMSPC,2019,774450.26,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DMSPC,2019,186818.18,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DMSPC,2019,1476049.47,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,32637.2,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,555015.78,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,510586.68,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,2953926.12,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,247121.02,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DOS,2019,321572.98,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,730439.13,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,602293,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,1640574.06,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,-981724.04,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPO,2019,890552.29,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,247887.85,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,914197.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,24833.76,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,687732.61,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,324000,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-OCHA,2019,30160871.31,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,63986319.37,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,852177.75,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,6922364.59,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-DPPA,2019,2415668.15,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,3484142.64,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,615895.85,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,1175885.84,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,636184.05,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,6936001.39,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECA,2019,102854.2,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-ECE,2019,1119721.57,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,1589491.31,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,2927571.13,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,1712826.34,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,918643.25,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECE,2019,1759979.29,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,110030.15,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,202467.93,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,-201014.49,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,12309457.4,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,126140.56,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,287943.97,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,246323.56,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ECLAC,2019,487278.54,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,1343919.97,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,1581546,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,342696.77,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,280362.67,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,1100401.87,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,1565853.77,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,329868.85,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCAP,2019,1261597.9,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-ESCWA,2019,782147.17,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,69874.32,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,57833.76,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-ESCWA,2019,63366,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,14157515.18,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,23686079.95,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,6792897.62,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OHCHR,2019,23347943.3,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,2133569.09,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,978092.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,121723821.5,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,62230177.17,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,99985274.26,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,22224011.19,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,55857344.8,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,571387431.2,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,157977741.8,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,-432400752.7,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-OCHA,2019,83622.85,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UN,UN-OHCHR,2019,-50577060.29,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,2472635.39,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,1330538,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,924700.8,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,882962.73,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,2236403.75,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNCTAD,2019,5051211.29,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UN,UN-UNISDR,2019,350240.34,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
