calendar year,entity code,amount,SDG goal,SDG target,SDG indicator
2019,WHO,-50807,3,3.8,
2019,WHO,27434603,3,3.8,
2019,WHO,2072164,3,3.8,
2019,WHO,25951,3,3.8,
2019,WHO,687618,3,3.8,
2019,WHO,15788541,3,3.8,
2019,WHO,76828501,3,3.8,
2019,WHO,27325618,3,3.8,
2019,WHO,-195020,3,3.8,
2019,WHO,-12136,3,3.9,
2019,WHO,272171,3,3.9,
2019,WHO,88285340,3,3.8,
2019,WHO,25485478,3,3.8,
2019,WHO,947591,3,3.b,
2019,WHO,541998,3,3.b,
2019,WHO,47249772,3,3.d,
2019,WHO,8552927,3,3.d,
2019,WHO,97798706,3,3.d,
2019,WHO,-245027,3,3.d,
2019,WHO,19962368,3,3.d,
2019,WHO,40621755,3,3.d,
2019,WHO,76772281,3,3.d,
2019,WHO,26953745,3,3.3,
2019,WHO,68346117,3,3.3,
2019,WHO,40955232,3,3.3,
2019,WHO,337872004,3,3.3,
2019,WHO,64039,3,3.3,
2019,WHO,103221579,3,3.3,
2019,WHO,177032903,3,3.4,
2019,WHO,10184214,3,3.4,
2019,WHO,613089699,3,3.d,
2019,WHO,172137216,3,3.4,
2019,WTO,261310806.9,17,3.7,
2019,UNIDO,30374135.65,7,3.8,
2019,UNIDO,2035412.061,8,3.8,
2019,UNIDO,23398099.69,1,3.d,
2019,UNIDO,16861986.33,2,3.d,
2019,UNIDO,6393675.732,3,3.d,
2019,UNIDO,700105.7129,4,3.d,
2019,UNIDO,13521117.27,5,3.d,
2019,UNIDO,85423.84882,6,3.d,
2019,UNIDO,115144875.4,9,3.d,
2019,UNIDO,299102.7336,10,3.d,
2019,UNIDO,401743.2247,14,3.3,
2019,UNIDO,1142041.368,16,3.d,
2019,UNIDO,10047814.65,17,3.d,
2019,UNIDO,401743.1133,15,3.a,
2019,UNIDO,5059834.229,11,3.3,
2019,UNIDO,13061276.36,12,3.d,
2019,UNIDO,52924650.36,13,17.1,
2019,UNICEF,1242919381,3,,
2019,UNICEF,839266.44,13,,
2019,UNICEF,25602085.69,10,,
2019,UNICEF,996569065.3,17,,
2019,UNICEF,324055142.4,1,,
2019,UNICEF,5023745.73,5,,
2019,UNICEF,515453296.3,2,,
2019,UNICEF,1049752614,4,,
2019,UNICEF,899976335.2,6,,
2019,UNICEF,224882.9592,9,,
2019,UNICEF,589667007.1,16,,
2019,IARC,48360015.63,3,,
