Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
India,U,Individual accomm.,Delhi : District,20484,0.07,0.13,0.15,0.35,0.61,0.04,0.51,0.48,0.44,0.47,0.5,0.52,..,0.49,20484,1.0,1.0
Indonesia,U,Individual accomm.,Bogor,1976,0.05,0.09,0.22,0.36,0.62,0.02,0.5,0.4,0.15,0.26,0.22,0.32,..,0.24,1976,1.0,1.0
Iraq,U,Individual accomm.,Arbil : Qadaa - District,4215,0.1,0.16,0.15,0.4,0.56,0.04,0.48,0.49,0.5,0.49,0.44,0.49,..,0.46,4215,1.0,1.0
Iraq,U,Individual accomm.,Baghdad : Point,10749,0.07,0.12,0.13,0.32,0.58,0.09,0.48,0.51,0.5,0.5,0.48,0.49,..,0.49,10749,1.0,1.0
Iraq,U,Individual accomm.,Dahuk : Muhafazah - Province,6276,0.16,0.22,0.15,0.53,0.44,0.03,0.48,0.48,0.49,0.48,0.47,0.53,..,0.48,6276,1.0,1.0
Iraq,U,Individual accomm.,Ninewa/Mousl : Point,1058,0.1,0.15,0.11,0.36,0.57,0.07,0.51,0.5,0.51,0.51,0.49,0.56,..,0.5,1058,1.0,1.0
Iraq,U,Individual accomm.,Sulaymaniyah : Point,6052,0.07,0.15,0.16,0.38,0.57,0.04,0.46,0.49,0.5,0.49,0.48,0.41,..,0.48,6052,1.0,1.0
Iraq,V,Camp,Makhmour : Point,10240,0.17,0.26,0.09,0.53,0.44,0.03,0.51,0.52,0.48,0.51,0.49,0.5,..,0.5,10240,1.0,1.0
Iraq,V,Individual accomm.,Anbar : Muhafazah - Province,51587,0.14,0.16,0.16,0.45,0.5,0.04,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,51587,1.0,1.0
Iraq,V,Individual accomm.,Arbil : Qadaa - District,58746,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,58746,1.0,1.0
Iraq,V,Individual accomm.,Babylon : Point,48092,0.14,0.16,0.16,0.45,0.5,0.04,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,48092,1.0,1.0
Iraq,V,Individual accomm.,Baghdad : Point,478747,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,478747,1.0,1.0
Iraq,V,Individual accomm.,Basrah : Muhafazah - Province,42947,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,42947,1.0,1.0
Iraq,V,Individual accomm.,Dahuk : Muhafazah - Province,123864,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,123864,1.0,1.0
Iraq,V,Individual accomm.,Diala : Muhafazah - Province,172788,0.14,0.16,0.16,0.45,0.5,0.05,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,172788,1.0,1.0
Iraq,V,Individual accomm.,Kerbala : Point,55446,0.14,0.16,0.16,0.45,0.5,0.04,0.49,0.49,0.49,0.49,0.49,0.53,..,0.49,55446,1.0,1.0
