Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Montenegro,V,Individual accomm.,Budva : Opština - Municipality,824,0.01,0.07,0.08,0.17,0.64,0.19,0.67,0.49,0.43,0.47,0.52,0.56,..,0.52,824,0.64,0.64
Montenegro,V,Individual accomm.,Herceg Novi : Opština - Municipality,1579,0,0.03,0.06,0.1,0.65,0.26,0,0.45,0.53,0.48,0.52,0.58,..,0.53,1579,0.53,0.53
Montenegro,V,Individual accomm.,Niksic : Opština - Municipality,768,0.04,0.07,0.14,0.25,0.62,0.13,0.41,0.46,0.51,0.48,0.51,0.63,..,0.52,768,0.63,0.63
Montenegro,V,Individual accomm.,Podgorica : Opština - Municipality,5209,0.03,0.09,0.11,0.24,0.61,0.15,0.36,0.46,0.38,0.41,0.49,0.55,..,0.48,5209,0.86,0.86
Montenegro,V,Individual accomm.,Tivat : Opština - Municipality,742,0.01,0.06,0.1,0.16,0.6,0.23,1,0.46,0.35,0.42,0.49,0.54,..,0.49,742,0.59,0.59
Montenegro,V,Undefined,Montenegro : Dispersed in the country / territory,4312,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4312,0.0,0.0
Morocco,U,Individual accomm.,Rabat : Point,1351,0.07,0.06,0.1,0.24,0.75,0.01,0.45,0.49,0.37,0.43,0.26,0.39,..,0.3,1351,1.0,1.0
Mozambique,R,Camp,Maratane : Point,9576,0.11,0.16,0.1,0.38,0.61,0.01,0.48,0.47,0.44,0.47,0.24,0.63,..,0.33,9576,1.0,1.0
Mozambique,U,Individual accomm.,Maputo : Point,2371,0.09,0.17,0.12,0.38,0.6,0.02,0.48,0.52,0.48,0.5,0.36,0.42,..,0.41,2371,1.0,1.0
Mozambique,U,Individual accomm.,Nampula : Distrito,1182,0.08,0.12,0.07,0.26,0.73,0.01,0.47,0.48,0.45,0.47,0.22,0.17,..,0.29,1182,1.0,1.0
Myanmar,V,Undefined,Myanmar : Dispersed in the country / territory,1147275,0.11,0.15,0.25,0.5,0.44,0.06,0.53,0.52,0.54,0.53,0.51,0.54,..,0.52,1147275,1.0,1.0
Namibia,R,Settlement,Osire : Point,6065,0.14,0.21,0.16,0.51,0.47,0.02,0.5,0.49,0.48,0.49,0.47,0.41,..,0.48,6065,1.0,1.0
Namibia,V,Undefined,Namibia : Dispersed in the country / territory,718,0.16,0.14,0.14,0.45,0.54,0.01,0.52,0.39,0.51,0.48,0.4,0.4,..,0.43,718,1.0,1.0
Nepal,R,Camp,Beldangi 1 : Point,10632,0.09,0.13,0.14,0.36,0.57,0.07,0.49,0.51,0.47,0.49,0.49,0.44,..,0.49,10632,1.0,1.0
Nepal,R,Camp,Beldangi 2 : Point,14671,0.08,0.12,0.13,0.33,0.59,0.08,0.49,0.48,0.47,0.48,0.5,0.45,..,0.49,14671,1.0,1.0
Nepal,R,Camp,Beldangi 2 Extension : Point,8552,0.09,0.12,0.13,0.34,0.59,0.08,0.49,0.48,0.46,0.48,0.49,0.46,..,0.48,8552,1.0,1.0
Nepal,R,Camp,Khudunabari : Point,9032,0.08,0.11,0.12,0.3,0.62,0.08,0.5,0.49,0.51,0.5,0.51,0.43,..,0.5,9032,1.0,1.0
Nepal,R,Camp,Sanischare : Point,10173,0.09,0.14,0.14,0.36,0.56,0.08,0.51,0.47,0.5,0.49,0.49,0.45,..,0.49,10173,1.0,1.0
Nepal,R,Camp,Timai : Point,2992,0.1,0.13,0.12,0.34,0.58,0.08,0.48,0.49,0.48,0.48,0.51,0.42,..,0.49,2992,1.0,1.0
Nepal,R,Undefined,Nepal : Dispersed in the country / territory,2656,0.01,0.12,0.08,0.22,0.71,0.07,1,0.45,0.53,0.51,0.36,0.46,0.52,0.51,2656,0.07,1.0
Nepal,V,Undefined,Nepal : Dispersed in the country / territory,815000,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,815000,0.0,1.0
Netherlands,U,Undefined,Netherlands : Dispersed in the country / territory,10420,..,..,..,..,..,..,..,..,..,..,..,..,0.35,0.35,10420,0.0,1.0
New Zealand,V,Undefined,New Zealand : Dispersed in the country / territory,2174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2174,0.0,0.0
Nigeria,R,Camp,Oru Camp : Point,3112,0.02,0.11,0.11,0.24,0.73,0.03,0.43,0.6,0.39,0.48,0.43,0.42,..,0.44,3112,1.0,1.0
Nigeria,R,Settlement,Amana : Point,1238,0.22,0.21,0.17,0.6,0.36,0.04,0.55,0.62,0.5,0.56,0.82,0.66,..,0.66,1238,1.0,1.0
Nigeria,R,Settlement,Benue : State,728,0.17,0.19,0.2,0.56,0.4,0.04,0.62,0.43,0.59,0.54,0.57,0.59,..,0.55,728,1.0,1.0
Nigeria,U,Individual accomm.,Lagos : Point,5114,0.06,0.08,0.12,0.27,0.71,0.03,0.52,0.52,0.44,0.48,0.39,0.07,..,0.41,5114,1.0,1.0
Norway,U,Undefined,Norway : Dispersed in the country / territory,2773,..,..,..,..,..,..,..,..,..,..,..,..,0.45,0.45,2773,0.0,1.0
Pakistan,R,Camp,Azakhel : Point,21398,0.22,0.24,0.16,0.62,0.35,0.02,0.47,0.48,0.47,0.47,0.48,0.33,..,0.47,21398,1.0,1.0
Pakistan,R,Camp,Badaber : Point,28729,0.18,0.24,0.16,0.58,0.39,0.03,0.49,0.49,0.48,0.49,0.47,0.34,..,0.48,28729,1.0,1.0
Pakistan,R,Camp,Baghicha : Point,544,0.22,0.19,0.17,0.58,0.38,0.04,0.5,0.49,0.53,0.5,0.5,0.43,..,0.5,544,1.0,1.0
Pakistan,R,Camp,Bakka Khel : Point,643,0.19,0.21,0.16,0.55,0.4,0.05,0.46,0.46,0.34,0.43,0.4,0.37,..,0.41,643,1.0,1.0
Pakistan,R,Camp,Barakai : Point,28093,0.17,0.23,0.19,0.58,0.38,0.04,0.48,0.49,0.48,0.48,0.52,0.34,..,0.49,28093,1.0,1.0
Pakistan,R,Camp,Barary : Point,7515,0.16,0.23,0.17,0.56,0.4,0.03,0.51,0.49,0.47,0.49,0.48,0.37,..,0.48,7515,1.0,1.0
Pakistan,R,Camp,Basu Mera : Point,5072,0.12,0.24,0.2,0.55,0.41,0.04,0.46,0.47,0.48,0.47,0.51,0.28,..,0.48,5072,1.0,1.0
Pakistan,R,Camp,Bizen Khel : Point,1582,0.18,0.21,0.18,0.57,0.39,0.04,0.48,0.44,0.45,0.46,0.48,0.3,..,0.46,1582,1.0,1.0
Pakistan,R,Camp,Chakdara : Point,13354,0.18,0.25,0.17,0.59,0.38,0.03,0.48,0.5,0.47,0.48,0.47,0.39,..,0.48,13354,1.0,1.0
Pakistan,R,Camp,Chichana : Point,3903,0.19,0.18,0.16,0.53,0.42,0.05,0.47,0.5,0.45,0.48,0.44,0.31,..,0.45,3903,1.0,1.0
Pakistan,R,Camp,Dabara : Point,1133,0.38,0.24,0.09,0.71,0.27,0.02,0.39,0.47,0.45,0.42,0.38,0.35,..,0.41,1133,1.0,1.0
Pakistan,R,Camp,Darsamand : Point,4593,0.18,0.21,0.16,0.55,0.4,0.05,0.47,0.49,0.47,0.47,0.47,0.4,..,0.47,4593,1.0,1.0
Pakistan,R,Camp,Doaba : Point,5435,0.19,0.2,0.17,0.56,0.39,0.05,0.47,0.5,0.47,0.48,0.48,0.35,..,0.47,5435,1.0,1.0
Pakistan,R,Camp,Gambila : Point,1449,0.21,0.22,0.14,0.57,0.37,0.05,0.42,0.52,0.41,0.46,0.46,0.35,..,0.45,1449,1.0,1.0
Pakistan,R,Camp,Gamkol : Point,32830,0.19,0.22,0.17,0.57,0.39,0.03,0.49,0.5,0.45,0.48,0.46,0.35,..,0.47,32830,1.0,1.0
Pakistan,R,Camp,Gandaf : Point,13346,0.21,0.22,0.17,0.6,0.37,0.03,0.48,0.48,0.49,0.48,0.47,0.44,..,0.48,13346,1.0,1.0
Pakistan,R,Camp,Gandhi Khan Khel : Point,2773,0.2,0.23,0.16,0.59,0.37,0.04,0.45,0.51,0.49,0.48,0.53,0.31,..,0.49,2773,1.0,1.0
Pakistan,R,Camp,Ghazgai Minara : Point,1798,0.17,0.27,0.16,0.59,0.36,0.04,0.48,0.46,0.39,0.45,0.47,0.33,..,0.45,1798,1.0,1.0
Pakistan,R,Camp,Ghiljo : Point,951,0.25,0.22,0.13,0.6,0.37,0.04,0.54,0.47,0.47,0.5,0.53,0.29,..,0.5,951,1.0,1.0
Pakistan,R,Camp,Ghulam Banda : Point,8489,0.18,0.22,0.18,0.58,0.39,0.03,0.48,0.48,0.47,0.48,0.48,0.28,..,0.47,8489,1.0,1.0
Pakistan,R,Camp,Girdi Jungle : Point,22740,0.2,0.21,0.15,0.57,0.38,0.06,0.43,0.49,0.41,0.45,0.41,0.37,..,0.43,22740,1.0,1.0
Pakistan,R,Camp,Ichirian : Point,5249,0.16,0.24,0.16,0.56,0.4,0.04,0.53,0.5,0.46,0.5,0.49,0.37,..,0.49,5249,1.0,1.0
Pakistan,R,Camp,Jalala : Point,14042,0.18,0.23,0.17,0.58,0.39,0.03,0.49,0.49,0.46,0.48,0.49,0.35,..,0.48,14042,1.0,1.0
Pakistan,R,Camp,Jalozai : Point,32499,0.18,0.28,0.12,0.59,0.38,0.03,0.49,0.45,0.41,0.45,0.51,0.41,..,0.48,32499,1.0,1.0
Pakistan,R,Camp,Jerma : Point,1078,0.21,0.2,0.17,0.58,0.38,0.04,0.42,0.49,0.41,0.44,0.45,0.36,..,0.44,1078,1.0,1.0
Pakistan,R,Camp,Kababian : Point,12504,0.17,0.2,0.14,0.52,0.45,0.02,0.48,0.5,0.47,0.48,0.41,0.3,..,0.45,12504,1.0,1.0
Pakistan,R,Camp,Kaghan : Point,1963,0.19,0.27,0.15,0.61,0.36,0.03,0.47,0.5,0.44,0.48,0.51,0.44,..,0.49,1963,1.0,1.0
Pakistan,R,Camp,Kalatak : Point,1576,0.18,0.23,0.17,0.58,0.39,0.03,0.44,0.45,0.42,0.44,0.43,0.38,..,0.43,1576,1.0,1.0
Pakistan,R,Camp,Kata Kanri : Point,5892,0.18,0.24,0.17,0.59,0.37,0.04,0.49,0.48,0.49,0.49,0.48,0.41,..,0.48,5892,1.0,1.0
Pakistan,R,Camp,Kesu : Point,1076,0.18,0.24,0.18,0.59,0.38,0.02,0.47,0.4,0.46,0.44,0.46,0.29,..,0.44,1076,1.0,1.0
Pakistan,R,Camp,Khaki : Point,15768,0.17,0.24,0.17,0.58,0.38,0.04,0.49,0.5,0.46,0.48,0.5,0.38,..,0.49,15768,1.0,1.0
Pakistan,R,Camp,Khazana : Point,6244,0.18,0.22,0.17,0.58,0.39,0.03,0.51,0.5,0.44,0.48,0.46,0.38,..,0.47,6244,1.0,1.0
Pakistan,R,Camp,Khoughani : Point,1468,0.19,0.2,0.18,0.57,0.4,0.03,0.52,0.5,0.44,0.49,0.49,0.35,..,0.49,1468,1.0,1.0
Pakistan,R,Camp,Khurasan : Point,4093,0.15,0.19,0.15,0.49,0.47,0.04,0.5,0.51,0.5,0.5,0.48,0.43,..,0.49,4093,1.0,1.0
Pakistan,R,Camp,Koga : Point,9216,0.21,0.23,0.17,0.61,0.36,0.03,0.49,0.49,0.46,0.48,0.52,0.36,..,0.49,9216,1.0,1.0
Pakistan,R,Camp,Kot Chandna : Point,15100,0.18,0.23,0.18,0.59,0.38,0.03,0.49,0.5,0.49,0.49,0.5,0.33,..,0.49,15100,1.0,1.0
Pakistan,R,Camp,Kotkai : Point,3354,0.18,0.22,0.17,0.57,0.37,0.06,0.48,0.45,0.47,0.47,0.5,0.44,..,0.48,3354,1.0,1.0
Pakistan,R,Camp,Kotwai : Point,5715,0.17,0.26,0.17,0.61,0.34,0.05,0.48,0.49,0.5,0.49,0.55,0.32,..,0.5,5715,1.0,1.0
Pakistan,R,Camp,Kund/Khairabad : Point,12921,0.21,0.25,0.15,0.61,0.35,0.04,0.49,0.49,0.47,0.49,0.5,0.39,..,0.49,12921,1.0,1.0
Pakistan,R,Camp,Lakti Banda : Point,6748,0.18,0.22,0.17,0.58,0.36,0.06,0.49,0.48,0.48,0.48,0.5,0.41,..,0.48,6748,1.0,1.0
Pakistan,R,Camp,Lejay Karez : Point,814,0.17,0.15,0.19,0.52,0.42,0.07,0.43,0.54,0.37,0.44,0.41,0.17,..,0.41,814,1.0,1.0
Pakistan,R,Camp,Malgagai : Point,6382,0.2,0.2,0.17,0.57,0.37,0.05,0.49,0.47,0.47,0.48,0.47,0.37,..,0.47,6382,1.0,1.0
Pakistan,R,Camp,Mayar : Point,2204,0.21,0.21,0.17,0.59,0.36,0.05,0.46,0.51,0.5,0.49,0.44,0.37,..,0.47,2204,1.0,1.0
Pakistan,R,Camp,Mera Kachori : Point,5074,0.18,0.23,0.16,0.57,0.39,0.04,0.52,0.49,0.49,0.5,0.5,0.37,..,0.49,5074,1.0,1.0
Pakistan,R,Camp,Mohammad Kheil : Point,5294,0.15,0.27,0.13,0.56,0.41,0.03,0.49,0.47,0.4,0.46,0.51,0.19,..,0.47,5294,1.0,1.0
Pakistan,R,Camp,Munda : Point,10341,0.19,0.25,0.17,0.61,0.36,0.03,0.49,0.51,0.48,0.49,0.52,0.33,..,0.5,10341,1.0,1.0
Pakistan,R,Camp,Naguman : Point,3384,0.16,0.25,0.17,0.59,0.38,0.03,0.5,0.51,0.43,0.48,0.48,0.32,..,0.48,3384,1.0,1.0
Pakistan,R,Camp,Naurang : Point,1261,0.15,0.23,0.17,0.56,0.4,0.05,0.47,0.46,0.52,0.48,0.47,0.35,..,0.47,1261,1.0,1.0
Pakistan,R,Camp,New Durrani,14397,0.15,0.28,0.14,0.57,0.39,0.03,0.47,0.41,0.31,0.4,0.5,0.49,..,0.44,14397,1.0,1.0
Pakistan,R,Camp,Togh Sarai,5635,0.2,0.26,0.12,0.59,0.38,0.03,0.46,0.44,0.53,0.47,0.53,0.52,..,0.49,5635,1.0,1.0
Pakistan,R,Camp,Oblan : Point,9474,0.19,0.23,0.18,0.6,0.36,0.04,0.49,0.49,0.47,0.48,0.5,0.39,..,0.49,9474,1.0,1.0
Pakistan,R,Camp,Old Akora : Point,37736,0.21,0.22,0.17,0.59,0.38,0.03,0.49,0.48,0.46,0.48,0.49,0.24,..,0.48,37736,1.0,1.0
Pakistan,R,Camp,Old Shamshatoo : Point,54502,0.17,0.22,0.17,0.56,0.41,0.03,0.49,0.48,0.47,0.48,0.49,0.31,..,0.48,54502,1.0,1.0
Pakistan,R,Camp,Padhana : Point,10075,0.13,0.25,0.17,0.56,0.4,0.04,0.5,0.49,0.47,0.49,0.49,0.32,..,0.48,10075,1.0,1.0
Pakistan,R,Camp,Panian : Point,58819,0.14,0.28,0.15,0.57,0.4,0.04,0.48,0.49,0.48,0.48,0.52,0.34,..,0.49,58819,1.0,1.0
Pakistan,R,Camp,Pir Alizai : Point,10243,0.2,0.25,0.15,0.61,0.36,0.04,0.51,0.49,0.45,0.49,0.45,0.27,..,0.46,10243,1.0,1.0
Pakistan,R,Camp,Pusha Pul : Point,784,0.19,0.23,0.18,0.6,0.35,0.05,0.52,0.52,0.32,0.46,0.37,0.24,..,0.42,784,1.0,1.0
Pakistan,R,Camp,Saranan : Point,21927,0.19,0.22,0.17,0.58,0.38,0.04,0.49,0.5,0.46,0.48,0.5,0.27,..,0.48,21927,1.0,1.0
Pakistan,R,Camp,Shaikh Abad : Point,5778,0.17,0.24,0.17,0.58,0.39,0.03,0.52,0.49,0.49,0.5,0.48,0.43,..,0.49,5778,1.0,1.0
Pakistan,R,Camp,Shindand : Point,1709,0.19,0.24,0.19,0.61,0.35,0.03,0.53,0.5,0.48,0.5,0.48,0.36,..,0.49,1709,1.0,1.0
Pakistan,R,Camp,Surkhab : Point,7422,0.17,0.23,0.16,0.56,0.39,0.04,0.49,0.48,0.45,0.47,0.48,0.27,..,0.47,7422,1.0,1.0
Pakistan,R,Camp,Thall : Point,13468,0.18,0.22,0.18,0.58,0.37,0.05,0.47,0.48,0.46,0.47,0.52,0.38,..,0.48,13468,1.0,1.0
Pakistan,R,Camp,Timer : Point,11161,0.16,0.26,0.17,0.59,0.38,0.03,0.5,0.49,0.47,0.49,0.51,0.34,..,0.49,11161,1.0,1.0
Pakistan,R,Camp,Toor : Point,6125,0.2,0.23,0.17,0.6,0.36,0.03,0.47,0.49,0.47,0.48,0.48,0.36,..,0.48,6125,1.0,1.0
Pakistan,R,Camp,Utmanzai : Point,4002,0.16,0.27,0.17,0.59,0.37,0.04,0.45,0.5,0.49,0.48,0.49,0.3,..,0.48,4002,1.0,1.0
Pakistan,R,Camp,Yakaghund : Point,2398,0.26,0.25,0.15,0.66,0.31,0.03,0.5,0.51,0.48,0.5,0.5,0.38,..,0.5,2398,1.0,1.0
Pakistan,R,Camp,Zafarabad : Point,2947,0.21,0.24,0.17,0.62,0.35,0.04,0.47,0.49,0.42,0.46,0.44,0.22,..,0.45,2947,1.0,1.0
Pakistan,R,Camp,Zar Karez : Point,4313,0.17,0.26,0.16,0.59,0.37,0.04,0.48,0.49,0.43,0.47,0.49,0.33,..,0.47,4313,1.0,1.0
Pakistan,U,Camp,Pakistan : Dispersed in the country / territory,1543,0.05,0.21,0.23,0.48,0.49,0.03,0.52,0.45,0.46,0.46,0.63,0.57,..,0.55,1543,1.0,1.0
Pakistan,U,Individual accomm.,Azad Kashmir : Point,6787,0.14,0.21,0.16,0.52,0.44,0.04,0.48,0.47,0.47,0.47,0.44,0.32,..,0.46,6787,1.0,1.0
Pakistan,U,Individual accomm.,Balochistan : Province,258464,0.14,0.24,0.16,0.54,0.41,0.04,0.49,0.48,0.45,0.47,0.47,0.32,..,0.47,258464,1.0,1.0
Pakistan,U,Individual accomm.,Islamabad : Point,35567,0.14,0.23,0.16,0.53,0.44,0.04,0.48,0.48,0.45,0.47,0.47,0.33,..,0.47,35567,1.0,1.0
Pakistan,U,Individual accomm.,Khyber Pakhtunkhwa,526536,0.15,0.21,0.16,0.52,0.45,0.03,0.48,0.48,0.46,0.48,0.47,0.35,..,0.47,526536,1.0,1.0
Pakistan,U,Individual accomm.,Punjab : Province,172408,0.15,0.22,0.16,0.54,0.43,0.04,0.48,0.48,0.45,0.47,0.45,0.34,..,0.46,172408,1.0,1.0
Pakistan,U,Individual accomm.,Sind : Province,71279,0.15,0.2,0.17,0.53,0.44,0.04,0.49,0.49,0.45,0.48,0.46,0.3,..,0.46,71279,1.0,1.0
Pakistan,V,Individual accomm.,Khyber Pakhtunkhwa,400401,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400401,0.0,0.0
Panama,R,Individual accomm.,Darien : Provincia,743,0.18,0.17,0.17,0.53,0.42,0.05,0.5,0.55,0.54,0.53,0.48,0.36,..,0.5,743,1.0,1.0
Panama,U,Individual accomm.,Panama : Distrito,17196,0.03,0.09,0.27,0.4,0.5,0.11,0.51,0.48,0.45,0.46,0.39,0.47,..,0.43,17196,1.0,1.0
Papua New Guinea,R,Camp,East Awin : Point,2366,0.11,0.18,0.15,0.45,0.51,0.04,0.5,0.47,0.46,0.47,0.48,0.47,..,0.48,2366,1.0,1.0
Papua New Guinea,R,Settlement,Papua New Guinea : Dispersed in the country / territory,4567,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4567,0.0,0.0
Papua New Guinea,U,Individual accomm.,Papua New Guinea : Dispersed in the country / territory,2435,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2435,0.0,0.0
Peru,U,Individual accomm.,Peru : Dispersed in the country / territory,1638,0.01,0.04,0.07,0.13,0.79,0.09,0.35,0.36,0.5,0.44,0.35,0.26,..,0.36,1638,1.0,1.0
Rep. of Korea,U,Individual accomm.,Seoul : Point,1364,0.03,0.03,0.01,0.06,0.93,0.01,0.42,0.5,0.1,0.41,0.15,0.33,..,0.17,1364,1.0,1.0
Rep. of Moldova,V,Individual accomm.,Republic of Moldova : Dispersed in the country / territory,2219,0,0,0,0.01,0.89,0.1,1,0.11,0.36,0.29,0.57,0.57,..,0.57,2219,1.0,1.0
Russian Federation,U,Undefined,Russian Federation : Dispersed in the country / territory,800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,800,0.0,0.0
Russian Federation,V,Undefined,Russian Federation : Dispersed in the country / territory,92692,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92692,0.0,0.0
Rwanda,R,Camp,Gatsibo : Point,14814,0.14,0.28,0.18,0.6,0.38,0.02,0.5,0.51,0.5,0.5,0.63,0.58,..,0.55,14814,1.0,1.0
Rwanda,R,Camp,Gihembe : Point,19827,0.1,0.23,0.18,0.51,0.45,0.04,0.49,0.5,0.51,0.51,0.58,0.64,..,0.54,19827,1.0,1.0
Rwanda,R,Camp,Kiziba : Point,18919,0.12,0.21,0.19,0.52,0.43,0.04,0.54,0.51,0.51,0.52,0.59,0.56,..,0.55,18919,1.0,1.0
Rwanda,R,Individual accomm.,Karongi : Point,853,0.28,0.19,0.08,0.55,0.42,0.02,0.53,0.53,0.53,0.53,0.83,0.6,..,0.66,853,1.0,1.0
Rwanda,R,Individual accomm.,Nyabihu : Point,791,0.3,0.15,0.06,0.51,0.46,0.03,0.51,0.61,0.54,0.54,0.76,0.62,..,0.64,791,1.0,1.0
Rwanda,R,Individual accomm.,Nyamasheke : Point,713,0.28,0.23,0.08,0.6,0.38,0.02,0.48,0.59,0.45,0.52,0.81,0.25,..,0.62,713,1.0,1.0
Rwanda,R,Individual accomm.,Rubavu : Commune,865,0.28,0.18,0.07,0.54,0.43,0.03,0.52,0.58,0.63,0.55,0.71,0.73,..,0.63,865,1.0,1.0
Rwanda,R,Individual accomm.,Rutsiro : Commune,579,0.29,0.15,0.07,0.51,0.47,0.02,0.58,0.48,0.31,0.52,0.68,0.67,..,0.6,579,1.0,1.0
Rwanda,U,Individual accomm.,Kigali-ngali : Prefecture,2061,0.13,0.22,0.18,0.53,0.46,0.01,0.52,0.53,0.49,0.51,0.52,0.35,..,0.52,2061,1.0,1.0
Senegal,R,Individual accomm.,Richard Toll : Point,18873,0.22,0.25,0.12,0.58,0.38,0.04,0.49,0.52,0.51,0.51,0.57,0.54,..,0.53,18873,1.0,1.0
Senegal,U,Individual accomm.,Dakar : Point,3819,0.05,0.07,0.06,0.18,0.8,0.02,0.48,0.43,0.48,0.46,0.32,0.4,..,0.34,3819,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),R,Undefined,Belgrade : Point,40662,0,0.05,0.09,0.14,0.6,0.26,0.68,0.49,0.47,0.48,0.47,0.62,..,0.51,40662,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),R,Undefined,Central and Southern Serbia,56869,0,0.07,0.11,0.17,0.61,0.21,0.43,0.49,0.49,0.49,0.49,0.55,..,0.5,56869,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),R,Undefined,Vojvodina : Region,23868,0,0.02,0.06,0.09,0.58,0.33,..,0.46,0.48,0.48,0.46,0.63,..,0.51,23868,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),U,Undefined,Belgrade : Point,58062,0,0.07,0.11,0.18,0.61,0.21,0.61,0.49,0.49,0.49,0.5,0.57,..,0.51,58062,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),U,Undefined,Central and Southern Serbia,80004,0,0.08,0.11,0.18,0.62,0.2,0.5,0.48,0.49,0.48,0.5,0.56,..,0.51,80004,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),U,Undefined,Serbia : Dispersed in the country / territory,6347,0.24,0.19,0.19,0.61,0.36,0.02,0.5,0.5,0.5,0.5,0.5,0.5,..,0.5,6347,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),U,Undefined,Vojvodina : Region,21231,0,0.04,0.08,0.12,0.6,0.28,..,0.47,0.47,0.47,0.46,0.63,..,0.51,21231,1.0,1.0
Serbia (and Kosovo: S/RES/1244 (1999)),V,Individual accomm.,Serbia : Dispersed in the country / territory,19731,0.12,0.13,0.13,0.38,0.48,0.14,0.49,0.49,0.49,0.49,0.43,0.51,..,0.47,19731,1.0,1.0
Sierra Leone,R,Settlement,Gondama : Point,1084,0.03,0.28,0.17,0.48,0.51,0.01,0.39,0.56,0.52,0.53,0.49,0.22,..,0.51,1084,1.0,1.0
Sierra Leone,R,Settlement,Taiama : Point,775,0.03,0.25,0.21,0.48,0.48,0.03,0.45,0.49,0.27,0.39,0.4,0.2,..,0.39,775,1.0,1.0
Sierra Leone,U,Individual accomm.,Bo : Point,610,0.01,0.1,0.16,0.27,0.7,0.03,0.25,0.53,0.49,0.5,0.58,0.5,..,0.56,610,1.0,1.0
Sierra Leone,U,Individual accomm.,Freetown : Point,1824,0.02,0.13,0.17,0.31,0.67,0.02,0.46,0.43,0.51,0.47,0.5,0.49,..,0.49,1824,1.0,1.0
Sierra Leone,U,Individual accomm.,Kenema : Point,2027,0.02,0.18,0.15,0.35,0.59,0.07,0.31,0.51,0.48,0.48,0.5,0.69,..,0.51,2027,1.0,1.0
Somalia,U,Individual accomm.,Bari : Gobolka - Region,4083,0.15,0.16,0.07,0.38,0.6,0.02,0.5,0.5,0.49,0.5,0.37,0.41,..,0.42,4083,1.0,1.0
Somalia,U,Individual accomm.,Hargeisa : Point,3741,0.16,0.2,0.08,0.44,0.55,0.01,0.55,0.48,0.51,0.51,0.46,0.15,0.58,0.49,3741,0.89,1.0
Somalia,V,Settlement,Awdal : Gobolka - Region,7990,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,7990,1.0,1.0
Somalia,V,Settlement,Bakool : Gobolka - Region,24000,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,24000,1.0,1.0
Somalia,V,Settlement,Banadir : District,184400,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,184400,1.0,1.0
Somalia,V,Settlement,Bari : Gobolka - Region,49010,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,49010,1.0,1.0
Somalia,V,Settlement,Bay : Gobolka - Region,39820,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,39820,1.0,1.0
Somalia,V,Settlement,Galgaduud : Gobolka - Region,149150,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,149150,1.0,1.0
Somalia,V,Settlement,Gedo : Gobolka - Region,76510,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,76510,1.0,1.0
Somalia,V,Settlement,Hiraan : Gobolka - Region,51160,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,51160,1.0,1.0
Somalia,V,Settlement,Juba Dhexe : Gobolka - Region,27000,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,27000,1.0,1.0
Somalia,V,Settlement,Juba Hoose : Gobolka - Region,30600,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,30600,1.0,1.0
Somalia,V,Settlement,Mudug : Gobolka - Region,83560,0.22,0.22,0.14,0.58,0.38,0.03,0.52,0.48,0.5,0.5,0.52,0.5,..,0.51,83560,1.0,1.0
