Origin,Country/territory of asylum,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
Iraq,Iran (Islamic Rep. of),45708,45708,0,1,0,0,1942,1943,18015,1676,2,2,0,0,0,36,18053,45937,45937
Iraq,Jordan,450000,30098,6495,201,0,293,975,7964,4575,107,965,965,0,0,55,6837,12432,450000,32197
Iraq,Lebanon,7630,7630,1996,424,0,92,187,2699,560,114,765,765,0,0,18,941,2284,8491,8491
Iraq,Netherlands,17779,0,0,1401,78,0,0,1479,920,0,0,0,0,0,0,0,920,18255,0
Iraq,Norway,6320,0,0,199,1,0,0,200,320,0,0,0,0,0,0,0,320,6257,0
Iraq,Sweden,29013,0,0,1134,14,0,0,1148,2265,0,0,0,0,0,0,0,2265,27367,0
Iraq,Syrian Arab Rep.,1000000,135205,12923,155,0,1022,3264,17364,28230,3071,4455,4455,0,0,233,261525,294443,750000,100254
Iraq,Turkey,5277,5277,0,4474,0,50,0,4524,215,0,2337,2337,0,0,0,393,2945,7071,7071
Iraq,United Kingdom,18143,0,0,185,0,0,0,185,835,0,0,0,0,0,0,0,835,15652,0
Iraq,United States,5429,0,0,345,6339,0,0,6684,1769,0,0,0,0,0,0,0,1769,5126,0
Lao People's Dem. Rep.,France,7445,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7382,0
Lebanon,Germany,12514,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,11697,0
Liberia,Côte d'Ivoire,25563,25563,0,2,0,195,10,207,1174,1174,0,0,0,0,17,967,2158,23650,23650
Liberia,Ghana,11585,11585,0,0,0,192,0,192,470,470,0,0,0,0,12,0,482,11295,11295
Liberia,Guinea,9789,9789,0,65,0,30,167,262,49,49,0,0,0,0,1,29,79,9972,9972
Liberia,Nigeria,5316,5316,0,0,0,0,0,0,1,1,0,0,0,0,0,16,17,5299,5299
Liberia,Sierra Leone,8341,8341,0,0,0,63,0,63,67,67,55,55,0,0,36,200,358,8046,8046
Mauritania,Mali,10468,10468,0,0,0,0,1974,1974,0,0,0,0,0,0,0,0,0,12442,12442
Mauritania,Senegal,19937,19937,0,0,0,0,1357,1357,1367,1367,10,10,0,0,0,0,1377,19917,19917
Mexico,Canada,5281,0,0,1042,0,0,0,1042,0,0,0,0,0,0,0,0,0,5574,0
Myanmar,Bangladesh,229226,29226,0,1,0,494,2,497,0,0,0,0,0,0,66,13,79,229644,29644
Myanmar,India,4630,4630,0,2479,0,147,41,2667,0,0,437,391,0,0,5,234,676,6621,6621
Myanmar,Malaysia,76120,76120,0,11189,0,0,2676,13865,0,0,8274,8274,0,0,124,441,8839,81146,81146
Myanmar,Thailand,95718,95718,0,0,0,2373,0,2373,0,0,9214,9214,0,0,257,472,9943,88148,88148
Pakistan,Canada,14526,0,0,433,83,0,0,516,0,0,0,0,0,0,0,0,0,13149,0
Pakistan,Germany,7078,0,0,158,0,0,0,158,0,0,0,0,0,0,0,0,0,6629,0
Palestinian,Egypt,70026,26,0,9,0,0,3,12,0,0,7,7,0,0,0,2,9,70029,29
Palestinian,Iraq,10798,10798,0,0,0,7,858,865,0,0,60,60,0,0,2,52,114,11549,11549
Russian Fed.,Austria,17229,0,0,1262,0,0,0,1262,0,0,0,0,0,0,0,0,0,18473,0
Russian Fed.,France,9858,0,0,1234,0,0,0,1234,0,0,0,0,0,0,0,0,0,10882,0
Russian Fed.,Germany,39460,0,0,177,0,0,0,177,0,0,0,0,0,0,0,0,0,39816,0
Russian Fed.,Poland,14730,0,0,374,0,0,0,374,0,0,0,0,29,0,0,0,29,14897,0
Russian Fed.,United States,7043,0,0,525,161,0,0,686,0,0,0,0,0,0,0,0,0,6863,0
Rwanda,Congo,7775,7775,0,0,0,157,594,751,55,55,8,8,0,0,47,42,152,8374,8374
Rwanda,Dem. Rep. of the Congo,69836,11080,0,0,0,1,0,1,8352,8352,4,4,0,0,0,0,8356,61481,10240
Rwanda,Uganda,12590,12590,0,43,0,289,92,424,7,7,16,16,0,0,0,0,23,12998,12998
Rwanda,Zambia,5736,4948,0,1,0,44,193,238,29,29,46,43,0,0,7,333,415,5559,4659
Senegal,Gambia,7359,7359,1000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,8359,8359
Senegal,Guinea-Bissau,7480,7480,0,1,0,0,177,178,0,0,0,0,0,0,0,0,0,7658,7658
Serbia (and Kosovo: S/RES/1244 (1999)),France,9985,0,0,932,0,0,0,932,0,0,0,0,0,0,0,0,0,10891,0
Serbia (and Kosovo: S/RES/1244 (1999)),Germany,122340,0,0,78,0,0,0,78,0,0,0,0,0,0,0,0,0,110455,0
