Country/territory of asylum,Refugees,Of whom assisted by UNHCR,People in refugee-like situations,Of whom assisted by UNHCR,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,IDPs protected/ assisted by UNHCR excl IDP-like,Persons in IDP-like situations,"IDPs protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons excl stateless like,Persons in stateless-like situations,Stateless persons,Various,Total population of concern
Africa,3415990,2763055,95650,12855,3511640,2775910,300411,386483,6668345,292748,6961093,2196235,0,0,0,174373,13530235
Asia,5555785,3089601,216928,5475,5772713,3095076,198305,144074,4093811,160500,4254311,1048126,0,0,0,1137401,12554930
Europe,467014,88543,373,373,467387,88916,46166,1321,369665,0,369665,1443,0,0,0,100074,986056
Latin America and the Caribbean,200718,72428,283351,22007,484069,94435,65058,29,3888309,0,3888309,0,0,0,0,0,4437465
Northern America,3882,7,5,5,3887,12,618,0,0,0,0,0,0,0,0,0,4505
Oceania,1890,0,0,0,1890,0,362,0,0,0,0,0,0,0,0,0,2252
Various/Stateless,155583,1082,7637,3541,163220,4623,286101,0,0,0,0,0,3477101,0,3477101,0,3926422
