Region (UN major area),"Refugees, incl. refugee-like situations",Asylum-seekers,Returned refugees,"IDPs protected/ assisted, incl. IDP-like situations",Returned IDPs,Stateless persons,Others of concern,Total
Africa,2408700,329600,43500,6230100,979400,21100,164100,10176500
Asia,5715800,72400,152300,4376400,1940900,2853200,1001700,16112700
Europe,1587400,302800,1800,419300,3000,588700,89800,2992800
Latin America and the Caribbean,373900,71400,100,3672100,0,0,0,4117500
Northern America,430100,57300,0,0,0,0,0,487400
Oceania,33800,4000,0,0,0,0,0,37800
