Region (UN major area),"Refugees, incl. refugee-like situations",Asylum-seekers,Returned refugees,"IDPs protected/ assisted, incl. IDP-like situations",Returned IDPs,Stateless persons,Others of concern,Total
Africa,2924100,390700,386500,6961100,2196300,21100,174300,13054100
Asia,5104100,83100,144100,4254300,1048100,2759400,1132800,14525900
Europe,1534400,312700,1300,369700,1400,696600,104700,3020800
Latin America and the Caribbean,377800,49700,0,3888300,0,0,0,4315800
Northern America,429600,53600,0,0,0,0,0,483200
Oceania,34800,5500,0,0,0,0,0,40300
